ID,MP ID,MP name,party,city,row_number,invoice_reference,invoice_issue_date,provider,provider_U,product,purpose,purpose_CAT,payment_date,net_amount,VAT_amount,gross_amount,claimed_amount,links
12,657,Szászfalvi László,"FIDESZ,KDNP",Barcs,1.0,NQ95B3562948,2014-03-06,HONLAP HU BT,HONLAP HU BT,Szászfalvi.hu weboldal,A honlap szolgáltatása,,2014-03-20,718000.0,0.0,718000.0,718000.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTXNjTDFUaUNXUmM/view?usp=drivesdk
14,1072,Vas Imre,"FIDESZ,KDNP",Budapest VIII.ker.,1.0,2014/003129,2014-03-14,Pásztorné Laza Anit,PÁSZTORNÉ LAZA ANIT,tapétaragasztó és eszközök,plakátragasztás,K313,2014-03-14,45315.0,13235.0,57550.0,57550.0,https://drive.google.com/file/d/0B1ve-jHPt_yfX0d3SEo5MmRHOU0/view?usp=drivesdk
15,1072,Vas Imre,"FIDESZ,KDNP",Budapest VIII.ker.,2.0,14/1027,2014-03-20,Pharma Press Nyomdaipari Kft.,PHARMA PRESS KFT,plakát,népszerűsítés,K342,2014-03-20,72800.0,19656.0,92456.0,92456.0,https://drive.google.com/file/d/0B1ve-jHPt_yfX0d3SEo5MmRHOU0/view?usp=drivesdk
16,1072,Vas Imre,"FIDESZ,KDNP",Budapest VIII.ker.,3.0,2014/V00028,2014-03-11,Ferencvárosi Művelődési Központ,FERENCVÁROSI MŰVELŐDÉSI KÖZPONT,terembérlet,fórum tartása,K333,2014-03-11,120000.0,0.0,120000.0,120000.0,https://drive.google.com/file/d/0B1ve-jHPt_yfX0d3SEo5MmRHOU0/view?usp=drivesdk
17,1072,Vas Imre,"FIDESZ,KDNP",Budapest VIII.ker.,4.0,150066390,2014-03-21,Magyar Posta Zrt.,MAGYAR POST ZRT,reklámkiadvány-terjesztés,népszerűsítés,K342,2014-03-21,126025.0,34027.0,160052.0,160052.0,https://drive.google.com/file/d/0B1ve-jHPt_yfX0d3SEo5MmRHOU0/view?usp=drivesdk
18,1072,Vas Imre,"FIDESZ,KDNP",Budapest VIII.ker.,5.0,2014/00100,2014-03-27,Rána nonprofit közhasznú kft.,RÁNA NONPROFIT KÖZHASZNÚ KFT,bevásárlókocsi-érme,népszerűsítés,,2014-01-01,174000.0,46980.0,220980.0,220980.0,https://drive.google.com/file/d/0B1ve-jHPt_yfX0d3SEo5MmRHOU0/view?usp=drivesdk
20,1072,Vas Imre,"FIDESZ,KDNP",Budapest VIII.ker.,7.0,SzA00085/2014,2014-04-03,Polgárok Háza Nkft.,POLGÁROK HÁZA KHT,toll Fidesz,népszerűsítés,K342,2014-04-04,24755.0,6684.0,31439.0,31439.0,https://drive.google.com/file/d/0B1ve-jHPt_yfX0d3SEo5MmRHOU0/view?usp=drivesdk
21,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,1.0,037024,2014-03-17,Kódex Nyrt.,KÓDEX NYRT,Nyomtatvány,Lakossághoz eljutás,K342,2014-03-19,411986.0,111236.0,523222.0,523222.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
22,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,2.0,150066315,2014-03-28,Magyar Posta Zrt.,MAGYAR POST ZRT,Reklám kézbesítés,Kézbesítés házhoz,K342,2014-03-28,171402.0,46279.0,217681.0,217681.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
23,791,Palásti János,FÜGGETLEN JELÖLT,Szigetvár,3.0,3204227,2014-03-31,PézsPress Kft.,PÉZSPRESS KFT,Hirdetés,Kampányhirdetés,K342,2014-04-02,30000.0,8100.0,38100.0,38100.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbFZxZXpVU00zaWM/view?usp=drivesdk
